AAR, RR, SLAAR, Target
0.0082492,0.0085029,0.0070355,0.0055556
-0.0067434,-0.0070715,-0.0049256,-0.01105
-0.014335,-0.014608,-0.014522,-0.01676
-0.011015,-0.011323,-0.0093732,-0.022727
-0.0014365,-0.001462,-4.9185e-05,0.011628
0.0028428,0.0029501,0.0092454,0.017241
0.022878,0.023763,0.020397,0.016949
-0.025,-0.026157,-0.027135,-0.027778
-0.029343,-0.032039,-0.033396,-0.045714
0.013862,0.014249,0.012324,0.005988
-0.0062947,-0.0065728,-0.0049837,-0.011905
-0.021928,-0.022955,-0.020613,-0.024096
-0.0068258,-0.006946,-0.0083702,-0.012346
0.013028,0.013431,0.013366,0.0125
0.0063459,0.0067232,0.01165,0.018519
0.0068094,0.0070196,0.0072568,0.0060606
0.014187,0.014578,0.012529,0.012048
-0.011537,-0.011826,-0.017124,-0.017857
0.0052903,0.0054602,0.0080865,0.0060606
0.015421,0.0188,0.019904,0.0060241
-0.03381,-0.037901,-0.03745,-0.035928
-0.043262,-0.045469,-0.043815,-0.062112
0.0067299,0.007057,0.0063831,0.0066225
0.0019367,0.0020148,0.0074597,0.013158
0.015936,0.016481,0.013683,0.012987
-0.0091422,-0.0094296,-0.016854,-0.025641
-0.0099523,-0.01037,-0.019076,-0.032895
0.059266,0.085616,0.06344,0.061224
0.019101,0.019767,0.019565,0.025641
-0.011419,-0.011696,-0.0067085,0.00625
0.0024,0.0024807,0.0035987,-0.0062112
-0.0082335,-0.0085595,-0.0034163,0.0125
-0.0015704,-0.0016072,0.00051405,0
-0.012339,-0.012681,-0.011452,-0.018519
0.020792,0.021488,0.021694,0.025157
0.018029,0.018516,0.020012,0.02454
0.012306,0.012772,0.011793,0.017964
-0.0081619,-0.0085092,-0.012663,-0.011765
0.013909,0.014134,0.01485,0.011905
0.011048,0.011466,0.0098989,0.011765
0.022197,0.022956,0.018855,0.017442
-0.016554,-0.017016,-0.017836,-0.022857
0.0012925,0.0013421,0.0011274,-0.005848
0.010328,0.010707,0.015515,0.017647
0.015532,0.01585,0.019336,0.034682
0.017951,0.018368,0.024653,0.011173
-0.012048,-0.012377,-0.0083682,-0.01105
0.0017796,0.0018199,-0.0019069,0
0.0077751,0.0080174,0.0064,0
0.0091008,0.0092737,0.011652,0.01676
0.0087045,0.0089088,0.0089065,-0.0054945
-0.00012684,-0.00013047,0.0033784,0.01105
-0.012099,-0.012479,-0.016553,-0.016393
0.012372,0.012786,0.0017545,0.0055556
0.009997,0.010339,0.0068836,-0.016575
0.0021405,0.0022528,-0.0010938,-0.011236
0.0028576,0.003006,0.00035717,0.017045
0.021397,0.022069,0.022996,0.027933
0.01679,0.017465,0.017552,0.01087
0.0060104,0.0061426,0.0033996,0.016129
0.00025795,0.00026592,-0.0016646,-0.010582
-0.00060658,-0.00063115,0.0083181,0.016043
-0.0022326,-0.0022917,-0.0023602,0
-0.0016438,-0.0016704,-0.0061539,-0.0052632
-0.0047483,-0.0048959,-0.0092418,-0.005291
-0.0027756,-0.0028268,-0.0012612,0
0.015093,0.016137,0.016297,0.021277
-0.039894,-0.041881,-0.042133,-0.057292
-0.018907,-0.019752,-0.024373,-0.022099
-0.0061506,-0.0063724,-0.01226,-0.016949
0.020188,0.021357,0.02457,0.028736
